Time,Width1,Width5,Width10
10639,169,168,164
10659,180,171,166
10679,176,174,168
10698,170,172,169
10719,180,173,171
10738,179,176,172
10758,170,175,173
10778,178,175,174
10798,179,177,175
10817,172,177,175
10836,175,175,176
10857,179,176,176
10876,171,175,176
10896,170,173,175
10916,176,173,175
10936,167,173,174
10955,164,169,173
10976,170,169,172
10995,163,168,171
11015,157,164,169
11034,161,162,167
11055,159,162,166
11074,151,158,163
11094,153,156,162
11114,155,156,160
11133,145,152,157
11153,147,150,155
11172,151,150,154
11193,141,147,151
11212,142,144,150
11232,146,144,148
11252,138,143,146
11272,140,141,145
11291,144,142,144
11312,140,142,143
11331,140,141,143
11351,144,141,142
11370,145,143,143
11390,142,143,142
11410,147,143,143
11429,152,146,144
11450,146,147,144
11469,152,147,145
11489,159,151,147
11509,150,152,147
11529,157,153,149
11548,166,157,151
11568,159,159,152
11588,162,159,154
11608,173,163,157
11627,167,165,158
11648,166,165,160
11667,177,168,162
11686,174,171,164
11706,169,170,166
11726,179,171,168
11746,178,174,169
11765,170,174,171
11786,178,174,172
11805,180,177,173
11825,172,176,174
11845,177,175,175
11865,180,177,176
11884,173,176,176
11904,172,175,176
11924,178,175,176
11943,170,175,176
11963,167,172,175
11983,174,172,174
12003,167,171,173
12022,161,167,171
12043,166,166,170
12062,163,166,169
12082,155,162,166
12101,158,160,165
12122,158,160,163
12141,149,156,161
12161,151,153,159
12181,156,153,157
12200,143,150,155
12220,145,147,153
12240,148,147,152
12260,139,145,149
12279,141,143,148
12299,144,143,147
12319,140,143,145
12339,140,141,144
12358,143,142,144
12379,143,142,143
12398,141,142,142
12418,145,142,142
12437,149,144,143
12457,143,144,142
12477,148,145,143
12496,155,148,144
12517,147,149,145
12536,153,149,146
12556,163,152,148
12576,154,154,149
12596,158,154,151
12615,168,158,153
12635,163,161,154
12655,163,161,156
12675,173,164,158
12694,170,167,160
12715,166,166,162
12734,176,168,164
12753,176,171,166
12774,167,171,167
12793,178,172,169
12813,179,175,171
12832,172,175,172
12853,176,175,173
12872,181,177,174
12892,174,177,175
12912,174,176,175
12932,180,177,176
12951,173,177,176
12972,170,174,175
12991,178,174,175
13010,171,174,174
13030,164,170,173
13050,170,169,172
13070,167,169,171
13089,158,166,169
13110,162,163,168
13129,163,163,167
13149,152,160,164
13168,155,157,163
13189,159,157,161
13208,146,154,159
13228,148,151,157
13248,151,151,156
13267,141,149,153
13287,143,146,152
13307,145,145,150
13327,140,145,148
13346,140,142,147
13366,143,142,146
13386,142,142,145
13406,139,141,144
13425,143,141,143
13446,146,143,143
13465,141,142,142
13485,145,143,142
13505,153,145,143
13524,144,145,143
13544,149,145,144
13563,158,149,145
13584,149,150,146
13603,154,150,147
13623,163,154,149
13643,159,157,151
13663,159,157,152
13682,169,160,155
13702,167,163,157
13722,163,163,158
13742,173,165,160
13761,173,168,163
13782,166,169,164
13801,175,170,166
13820,178,173,168
13841,172,174,169
13860,176,174,171
13880,181,176,173
13899,174,177,173
13920,175,175,174
13939,182,177,176
13959,175,177,176
13979,172,175,176
13999,181,176,176
14018,173,176,176
14039,167,173,175
14058,174,172,175
14077,171,173,174
14097,161,169,172
14117,166,167,171
14137,167,167,170
14156,156,164,168
14177,159,161,167
14196,162,161,165
14216,149,158,163
14235,152,155,161
14256,155,155,160
14275,144,153,157
14295,145,149,156
14315,148,148,154
14334,143,147,152
14354,142,145,150
14374,144,144,148
14394,143,144,147
14413,139,142,146
14433,142,142,145
14453,145,143,144
14473,140,142,143
14492,143,141,143
14513,150,143,143
14532,142,143,142
14552,146,142,143
14572,153,145,143
14592,144,146,144
14611,150,147,145
14630,158,150,146
14651,154,152,147
14670,155,153,149
14690,164,156,151
14710,163,159,153
14730,160,159,154
14749,169,161,156
14770,171,165,159
14789,163,165,160
14809,173,166,162
14828,176,170,165
14849,170,171,166
14868,175,171,168
14887,180,174,170
14908,174,175,171
14927,175,174,173
14947,182,177,174
14966,176,178,175
14987,173,176,175
15006,183,177,176
15026,175,178,176
15046,169,175,175
15066,177,174,176
15085,174,175,175
15106,165,171,174
15125,170,170,173
15144,171,171,173
15164,159,168,171
15184,163,165,170
15204,167,166,169
15223,152,163,167
15244,156,160,166
15263,160,159,164
15283,149,157,162
15303,149,153,160
15323,152,152,158
15342,146,151,156
15362,144,148,154
15382,146,147,152
15401,144,147,151
15421,140,144,149
15441,143,143,147
15461,145,144,146
15480,139,142,145
