Time,A0,PotValue
637,1022,255
638,1021,255
639,1022,255
640,1022,255
641,1022,255
642,1022,255
643,1021,255
644,1022,255
645,1021,255
646,1022,255
647,1021,255
648,1022,255
649,1021,255
650,1021,255
651,1022,255
652,1021,255
653,1021,255
654,1022,255
655,1022,255
656,1022,255
657,1022,255
658,1022,255
659,1022,255
660,1021,255
661,1022,255
662,1022,255
663,1021,255
664,1022,255
665,1021,255
666,1021,255
667,1022,255
668,1021,255
669,1021,255
670,1022,255
671,1022,255
672,1021,255
673,1021,255
674,1022,255
675,1022,255
676,1021,255
677,1022,255
678,1021,255
679,1022,255
680,1022,255
681,1022,255
682,1021,255
683,1022,255
684,1022,255
685,1022,255
686,1022,255
687,1021,255
688,1021,255
689,1021,255
690,1022,255
691,1021,255
692,1022,255
693,1022,255
694,1022,255
695,1022,255
696,1021,255
697,1022,255
698,1022,255
699,1022,255
700,1021,255
701,1022,255
702,1022,255
703,1022,255
704,1022,255
705,1022,255
706,1021,255
707,1022,255
708,1022,255
709,1022,255
710,1022,255
711,1021,255
712,1022,255
713,1022,255
714,1021,255
715,1022,255
716,1022,255
717,1022,255
718,1022,255
719,1021,255
720,1021,255
721,1021,255
722,1022,255
723,1021,255
724,1021,255
725,1022,255
726,1022,255
727,1022,255
728,1021,255
729,1021,255
730,1022,255
731,1022,255
732,1022,255
733,1021,255
734,1022,255
735,1022,255
736,1021,255
737,1022,255
738,1021,255
739,1022,255
740,1022,255
741,1021,255
742,1021,255
743,1021,255
744,1022,255
745,1021,255
746,1021,255
747,1022,255
748,1021,255
749,1021,255
750,1022,255
751,1021,255
752,1022,255
753,1022,255
754,1022,255
755,1022,255
756,1021,255
757,1021,255
758,1022,255
759,1022,255
760,1022,255
761,1021,255
762,1021,255
763,1022,255
764,1022,255
765,1021,255
766,1021,255
767,1021,255
768,1022,255
769,1022,255
770,1022,255
771,1022,255
772,1022,255
773,1021,255
774,1022,255
775,1022,255
776,1022,255
777,1021,255
778,1021,255
779,1022,255
780,1022,255
781,1022,255
782,1022,255
783,1021,255
784,1022,255
785,1022,255
786,1022,255
787,1022,255
788,1022,255
789,1022,255
790,1022,255
791,1022,255
792,1022,255
793,1022,255
794,1021,255
795,1022,255
796,1021,255
797,1022,255
798,1021,255
799,1022,255
800,1021,255
801,1022,255
802,1022,255
803,1022,255
804,1022,255
805,1021,255
806,1021,255
807,1021,255
808,1021,255
809,1021,255
810,1022,255
811,1022,255
812,1022,255
813,1021,255
814,1022,255
815,1022,255
816,1021,255
817,1022,255
818,1022,255
819,1022,255
820,1022,255
821,1022,255
822,1022,255
823,1022,255
824,1022,255
825,1022,255
826,1022,255
827,1021,255
828,1022,255
829,1022,255
830,1021,255
831,1021,255
832,1021,255
833,1022,255
834,1021,255
835,1021,255
836,1022,255
837,1022,255
838,1022,255
839,1022,255
840,1022,255
841,1022,255
842,1021,255
843,1022,255
844,1021,255
845,1022,255
846,1022,255
847,1022,255
848,1021,255
849,1022,255
850,1022,255
851,1022,255
852,1022,255
853,1022,255
854,1022,255
855,1021,255
856,1022,255
857,1021,255
858,1022,255
859,1022,255
860,1022,255
861,1022,255
862,1021,255
863,1022,255
864,1022,255
865,1022,255
866,1021,255
867,1022,255
868,1022,255
869,1022,255
870,1022,255
871,1022,255
872,1022,255
873,1021,255
874,1022,255
875,1022,255
876,1022,255
877,1022,255
878,1021,255
879,1021,255
880,1022,255
881,1021,255
882,1022,255
883,1022,255
884,1022,255
885,1022,255
886,1022,255
887,1022,255
888,1021,255
889,1022,255
890,1022,255
891,1022,255
892,1022,255
893,1022,255
894,1022,255
895,1022,255
896,1022,255
897,1022,255
898,1022,255
899,1021,255
900,1022,255
901,1022,255
902,1022,255
903,1021,255
904,1022,255
905,1022,255
906,1022,255
907,1022,255
908,1021,255
909,1021,255
910,1022,255
911,1021,255
912,1022,255
913,1021,255
914,1022,255
915,1022,255
916,1022,255
917,1022,255
918,1022,255
919,1022,255
